"","p_value"
"0610007p14rik",1
"0610009b22rik",1
"0610009o20rik",0.884238060781476
"0610010f05rik",1
"0610010k14rik",1
"0610011f06rik",1
"0610012g03rik",0.981022653721683
"0610030e20rik",1
"0610031o16rik",1
"0610037l13rik",0.98193247311828
"0610040b10rik",0.825427985648385
"0610040j01rik",1
"0610043k17rik",1
"1110001j03rik",1
"1110004e09rik",1
"1110004f10rik",1
"1110008f13rik",0.768081081081081
"1110008l16rik",1
"1110008p14rik",1
"1110012l19rik",0.507830927835052
"1110019d14rik",1
"1110020a21rik",0.988960953555281
"1110032a03rik",1
"1110034g24rik",1
"1110037f02rik",1
"1110038f14rik",1
"1110051m20rik",1
"1110059e24rik",1
"1110059g10rik",1
"1110065p20rik",0.903615287428932
"1190002n15rik",1
"1190005i06rik",1
"1190007i07rik",1
"1300002e11rik",1
"1300017j02rik",0
"1500011b03rik",0.935417667467307
"1500011k16rik",1
"1500026h17rik",0.958633599202393
"1600002h07rik",0.735118165784832
"1600002k03rik",1
"1600012h06rik",0.834217221135029
"1600014c10rik",1
"1600020e01rik",1
"1700001c19rik",1
"1700007l15rik",1
"1700017b05rik",0.994570459081836
"1700018l02rik",0.887463449254791
"1700019g17rik",1
"1700020i14rik",0.93402963362069
"1700021f05rik",1
"1700024p16rik",1
"1700030k09rik",0.853274158285964
"1700034p13rik",1
"1700048o20rik",1
"1700066m21rik",1
"1700086o06rik",1
"1700096k18rik",0.903615287428932
"1700113a16rik",1
"1700123o20rik",1
"1810008i18rik",1
"1810011o10rik",1
"1810013l24rik",1
"1810014b01rik",1
"1810022k09rik",1
"1810024b03rik",0.769025830258303
"1810026j23rik",0.769025830258303
"1810030o07rik",0.769025830258303
"1810034e14rik",1
"1810037i17rik",1
"1810041h14rik",1
"1810043g02rik",0.722281524926686
"1810043h04rik",1
"1810044d09rik",1
"1810055g02rik",0.669469964664311
"1810058i24rik",1
"2010003k11rik",1
"2010107e04rik",1
"2010111i01rik",0.988960953555281
"2010315b03rik",0.960721849366145
"2010320m18rik",1
"2200002d01rik",1
"2210013o21rik",1
"2210016f16rik",1
"2210016l21rik",0.648342205323194
"2210417a02rik",1
"2300009a05rik",1
"2310001h17rik",1
"2310009b15rik",1
"2310011j03rik",0.683508455467869
"2310022a10rik",0.851505617977528
"2310022b05rik",1
