"","gene","observed_stat","p_value","q_value","significant","direction","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"1300017j02rik","1300017j02rik",370.78844471634,0,0,TRUE,"CV-enriched",8.49106939621272e-06,2.65314841853382,18.1142643755692,24.8460804886195,21.8829216343307,16.5797787348932,11.9240907306544,8.46118588576901,6.02187189581867,4.32929695859982
"acsl1","acsl1",3319.76822237079,0,0,TRUE,"CV-enriched",5.98025723301857e-06,6.86885939589316,52.4476789616508,74.6071759183356,66.8561622621607,51.1566952620676,37.0241149028879,26.3859460734683,18.8382201174746,13.5756286265673
"aftph","aftph",54.8041894915813,0,0,TRUE,"CV-enriched",3.60997559821624e-07,1.00399862965515,6.98250571480236,9.49679277435875,8.30461653930915,6.25860958111378,4.48302402531407,3.17111526103535,2.25124215561491,1.61517082873946
"akr1c14","akr1c14",594.995991231754,0,0,TRUE,"CV-enriched",6.47216846028167e-07,2.77020402547116,22.0702545567916,31.4951099138189,28.1907704372419,21.5352424640517,15.5621500107574,11.0762361172662,7.89921918002177,5.68727208546578
"alb","alb",4495.90773664962,0,0,TRUE,"PN-enriched",8.3234798710051e-06,7.93468998413207,60.9146339133878,86.8776109558662,78.0017528042647,59.7725365344501,43.309044849705,30.8929688599125,22.0721927594045,15.9158016293594
"aldh16a1","aldh16a1",12.9341835123137,0,0,TRUE,"CV-enriched",5.82219055348882e-07,0.531938694806742,3.4649029656086,4.58398145068285,3.94419291838059,2.94101735638494,2.09087975599471,1.47077786576797,1.03965208284062,0.743360033810547
"aldh1a1","aldh1a1",2891.32880450133,0,0,TRUE,"CV-enriched",1.10358913437304e-05,6.72614811594888,49.486673993359,69.5369878511343,61.9255331750676,47.204138428992,34.0758257845473,24.2397394768187,17.2816161534359,12.4401439712093
"aldh1l1","aldh1l1",2309.40955548736,0,0,TRUE,"CV-enriched",5.98236737395586e-06,5.88012811803775,44.0854470646691,62.1089993937526,55.375566752445,42.2448991996621,30.5143488125847,21.7167956618068,15.489021265747,11.1534230931251
"aldh2","aldh2",1332.67029431668,0,0,TRUE,"CV-enriched",1.14321406196378e-05,4.68604795586404,33.7472581988535,47.2376819338405,42.0179216225239,32.015898781735,23.1085089456973,16.4377545497112,11.7195084113234,8.43665606345747
"aldh3a2","aldh3a2",78.9283489337193,0,0,TRUE,"CV-enriched",2.01477638089808e-06,1.20621616623235,8.34765833314055,11.4379712254197,10.0473368913126,7.59349347532117,5.44968627650186,3.8602568223104,2.74335821178063,1.96986147882092
"amfr","amfr",791.681903436441,0,0,TRUE,"CV-enriched",7.28685963437557e-07,3.28327676307549,25.5819088114867,36.3553204561459,32.5233827442819,24.8536114445993,17.9702388404581,12.7976159031065,9.13179447388756,6.57789929293049
"apob","apob",2760.45620981901,0,0,TRUE,"CV-enriched",7.10950941569826e-06,6.30064026513261,47.8951125687228,68.0297585398167,60.9390589162566,46.6277769714361,33.7492614473489,24.0549399745268,17.1761384991046,12.3793286899397
"b3galt1","b3galt1",93.8693545628903,0,0,TRUE,"CV-enriched",5.70994230250001e-07,1.2176276227335,8.98650325918688,12.4463002371774,10.9585441335306,8.28368313811965,5.94231307751101,4.2065315670273,2.98747801921368,2.14381172963327
"bc005537","bc005537",600.774413718776,0,0,TRUE,"CV-enriched",6.80994916966446e-06,3.03773204968237,22.5249742119929,31.6809203680941,28.2047184447194,21.4885824756693,15.504283480404,11.0238770001155,7.85629538580565,5.65339506186741
