"","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"0610007p14rik",1.90226908215426e-06,0.127408207492457,0.772995272581836,1.11657074216684,1.02535749794952,0.800745203529206,0.588996655967217,0.425237287419866,0.306816519548122,0.223042464357803
"0610009b22rik",2.42806823245172e-07,0.133265284978465,0.793323599399656,1.10784050247748,1.00848406257797,0.786050001659019,0.578166019804893,0.417615318741956,0.301486868743189,0.219283247101869
"0610009o20rik",5.46186426029663e-08,0.0734821182346141,0.436104168163085,0.582930407602529,0.514242960073943,0.39299278750167,0.285477857257168,0.204536124629128,0.146856573432739,0.106413165852971
"0610010f05rik",8.33971076177713e-08,0.0740365436435873,0.553283580054809,0.816381263081639,0.750818767719929,0.584926717953842,0.428865206207188,0.308638348595042,0.222032410290699,0.16098052443506
"0610010k14rik",9.67108077277516e-09,0.0525938219977502,0.42958685533697,0.641249105263832,0.593815510496056,0.464963522262057,0.342233418436856,0.24704228957687,0.178153608781581,0.129423846420941
"0610011f06rik",4.32024644721911e-06,0.168916711804881,0.918242603285655,1.27919585869473,1.16279542329415,0.905768709100061,0.666228594072393,0.481392980036155,0.347708541773225,0.253048508927123
"0610012g03rik",1.45131927471885e-07,0.103531598708316,0.606201051486447,0.823444920477036,0.735265964183617,0.565578717129382,0.4120874492947,0.295555098486608,0.212199145649572,0.153664752133242
"0610030e20rik",1.26875396079678e-08,0.0829373651148963,0.683048373936835,1.01190382843693,0.93149954246617,0.726341564648538,0.533019264197073,0.383901171547172,0.276370393525945,0.200500000636524
"0610031o16rik",2.2695688141233e-08,0.0813199854421124,0.599755370032776,0.852698123558113,0.771027283035583,0.59627224925154,0.435903896482846,0.313447091881717,0.225541746206576,0.163645062108405
"0610037l13rik",1.87530579855802e-07,0.121479795873247,0.729762860708615,1.02413988791528,0.930965713649098,0.723960822064822,0.531441789376955,0.383276548796354,0.276375054911465,0.200841018730525
"0610040b10rik",2.58413646957376e-09,0.042689554718202,0.336336758274345,0.467795109146037,0.411233623491396,0.310261428362664,0.222215622874981,0.157112436825303,0.111475149927816,0.0799347788283212
"0610040j01rik",4.00072566927473e-08,0.0673810785525763,0.450566918765144,0.662539534078154,0.617871738311344,0.487853803410657,0.3616205497375,0.262523657129679,0.190187631166693,0.13868455893498
"0610043k17rik",4.88135620583057e-08,0.0525332078464377,0.292734028970526,0.413464058476798,0.381618962420643,0.300240186006036,0.222202665987857,0.161176056983358,0.116704755162012,0.0850701783662607
"1110001j03rik",1.51109772883389e-07,0.0985708798380469,0.696863504703708,1.04108600307929,0.979880380013226,0.779327882638513,0.581109839812002,0.423924692815128,0.308357990819451,0.225615318902995
"1110004e09rik",1.55091403753912e-08,0.0894544502810766,0.625217382476833,0.89541767376304,0.824631387924625,0.648386667401398,0.480328482825601,0.349008543991831,0.253210443741559,0.184942516324525
"1110004f10rik",2.15712509498124e-08,0.0647535217638441,0.472119187604258,0.68790650342493,0.633302996903682,0.495304809724704,0.364653368602671,0.263403301762039,0.19010001175118,0.138208292666823
"1110008f13rik",8.96174377614767e-07,0.20624505549663,1.09235968364466,1.46278325000203,1.30559086365478,1.00705970312781,0.736270411840073,0.529837907845452,0.381578838133002,0.277084472101418
"1110008l16rik",7.40444715464315e-08,0.0665593584120035,0.400690453134421,0.567980573507591,0.515686022772281,0.399152609474392,0.291458190450918,0.209138883197781,0.150118099052013,0.108647730958904
"1110008p14rik",9.74300980307876e-07,0.160671675892105,0.856126523898089,1.16329252842298,1.04952328188467,0.815465555872817,0.59919586603947,0.432740488338998,0.312471933251705,0.227354456390907
"1110012l19rik",3.46232428855753e-08,0.0535240186302458,0.293441342150716,0.368415496994825,0.312596978721586,0.232589037636481,0.165636617524147,0.116850397336405,0.0828579045665594,0.0594241212468337
"1110019d14rik",1.11632085272009e-08,0.053084746669174,0.475656811189887,0.741602621303785,0.70349252026274,0.559661823033864,0.416723525869923,0.303503455673982,0.220433912312482,0.161077594635095
"1110020a21rik",2.09101113443118e-08,0.0568263862102163,0.447050206387213,0.651715348386729,0.594566707946223,0.461004104321498,0.337015750749633,0.24207429360078,0.173919471297669,0.125980507649478
"1110032a03rik",5.3544173943784e-09,0.04943268463702,0.419536968680728,0.62232868375172,0.571864421877563,0.445011822754571,0.325978379697565,0.234422548700112,0.168543156348564,0.122140777650957
"1110034g24rik",3.74091308610075e-06,0.169096643297371,0.488357303368676,0.568764187948431,0.496874285668312,0.383713160598763,0.281973400370053,0.20397008676624,0.147558216065797,0.107554182985438
"1110037f02rik",1.24515967524561e-08,0.060909172001024,0.42011830589782,0.602427602778985,0.551286757302513,0.429663798662627,0.315535679512518,0.227473485081027,0.16390243546331,0.118998889343922
"1110038f14rik",1.94167387501049e-07,0.0803212973525785,0.400977399001969,0.544818901067858,0.500930346568,0.39677473048204,0.296278859546052,0.216774597012903,0.158182622486834,0.116087143424854
"1110051m20rik",4.8537130620186e-09,0.0460262450709375,0.384187243738597,0.573361299489967,0.5301034317127,0.414549501957354,0.304848353745228,0.21991084672102,0.158510502458806,0.115110888003004
"1110059e24rik",6.71331012929644e-06,0.135224635044806,0.597420132716082,0.842317029406003,0.780000035231359,0.615365457043945,0.456471694083197,0.331750616694098,0.240615109410048,0.175644299171433
"1110059g10rik",9.66104602468977e-08,0.0718446361758188,0.427999082713449,0.594201595489246,0.53798787566818,0.417507966858962,0.30603093393544,0.220434369106663,0.158774327985142,0.115263718570069
"1110065p20rik",2.56769874806771e-07,0.127146426999539,0.749183143242392,1.02596004022233,0.921051997293873,0.712405548419836,0.521962280071992,0.376353668364702,0.271540491657258,0.197516735690501
"1190002n15rik",1.20320192422804e-07,0.0994775648312512,0.678393063777574,0.97467241346369,0.890200314662479,0.692555802950358,0.507977312725778,0.365925988518367,0.26353894000896,0.1912858512841
"1190005i06rik",5.03758691450334e-08,0.0530530425842145,0.328118694525463,0.489634617783096,0.464362024656248,0.371699089681539,0.278569197058039,0.204049356381107,0.148921236319636,0.109266352954982
"1190007i07rik",7.21281583394463e-08,0.12039266883837,0.883566989706924,1.27379101547747,1.15854520831515,0.897215230994547,0.655509787152044,0.470671569862306,0.338070246742558,0.244837804598014
"1300002e11rik",7.63334956198022e-08,0.0987276244524444,0.695683840043653,1.00592799284095,0.920371813478889,0.716205814616045,0.525155630174106,0.378100656647795,0.272147131035039,0.197418687737958
"1300017j02rik",4.78232931778477e-06,0.185940588591333,0.872962778777598,1.13761582216718,1.0020236521293,0.767016978098247,0.558051695888218,0.400257302029006,0.287570590962538,0.208447235774581
