"","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5"
"Cyp1",1.46917257172253e-05,1.04091213065283,0.820889593449761,0.436929997880229,0.231133361243755
"Cyp2",3.24639654304386e-05,1.00410722974436,0.745649294664689,0.410712830480325,0.220752208020518
"Cyp3",2.26593416274651e-05,1.05261901980861,0.877027625471424,0.46352041394432,0.240949528477556
"Cyp4",1.96699476756596e-05,0.744532669870708,0.689996921984963,0.437473011146369,0.24932816947788
"Cyp5",1.53632404936257e-05,0.81925829250955,0.901563317132998,0.536854847679889,0.289827785486908
"Cyp6",1.71096172435401e-05,1.0240350572057,0.895829374295728,0.559012397891186,0.321609068228539
"Cyp7",2.53015061309299e-05,1.01844740416002,1.02185051205007,0.660910433715098,0.376696734633837
"Cyp8",8.43186992203902e-06,1.01546113487673,1.1075554103315,0.67424798382023,0.373168699257055
"Cyp9",1.37441714477866e-05,0.94088041815389,0.942162504414931,0.583965217794804,0.329439480845232
"Cyp10",5.59741857778066e-06,0.936678223308355,0.918539527431064,0.583047300634422,0.333212170381313
"Alb1",1.01047342436653e-05,0.535697572142879,0.752623909459676,0.567299074444252,0.347161313543038
"Alb2",1.46857906357027e-05,0.631838192338568,0.707835614813029,0.471932700658965,0.273941168894843
"Alb3",2.4935392529578e-06,0.816120960610002,0.925611545549615,0.595176068425032,0.339855001735118
"Alb4",7.6958907943625e-06,0.720545609987674,1.05765394571308,0.729693987699273,0.427058744127619
"Alb5",5.80986387776631e-06,0.85453259811145,1.11985385939445,0.761637909991237,0.443681893898733
"Alb6",1.96770693411597e-05,1.10299984890739,1.14319220092011,0.671684906756368,0.364724480785894
"Alb7",1.10729504553073e-05,0.97481872932661,1.09151058401471,0.644147031366261,0.349494960700024
"Alb8",1.77063118493497e-05,1.06164982374767,1.05024783837836,0.628916664444718,0.349599022514102
"Alb9",1.5557610690972e-05,0.906261321882323,1.00750262903654,0.643768379171603,0.365302869889247
"Alb10",7.6156172216602e-06,0.75333339785289,0.870768925618123,0.556839165392591,0.314485389210648
"OtherGene1",9.2378449594294e-06,0.882280248613579,0.94514779123801,0.610239535412901,0.353233755466164
"OtherGene2",1.13824947078906e-05,0.865106655199322,0.814575876211819,0.51949413590182,0.297362969348225
"OtherGene3",1.57787417915481e-05,0.893905717530483,0.963184385413811,0.649293424453676,0.380523977625387
"OtherGene4",1.41396477356288e-05,1.12283491094881,1.20217597728923,0.727343688104111,0.403265020838914
"OtherGene5",8.50191775789467e-06,0.988454956218376,1.14010377441606,0.664232331554787,0.355821914140172
"OtherGene6",1.05643658299648e-05,1.07068342271609,0.995099711370948,0.599755623050129,0.333141604546171
"OtherGene7",9.27464655455034e-06,0.91322132318817,0.910078611131566,0.570697325822194,0.32338535606242
"OtherGene8",1.22365219084155e-05,0.791067095390078,1.05872124676933,0.653294243687425,0.358949522850777
"OtherGene9",1.32579724292485e-05,0.817411622483019,1.07235404110139,0.720628035722884,0.415879409723307
"OtherGene10",1.07738675926619e-05,1.01327920562889,0.861958182971464,0.523546806207967,0.304209516507642
